Torus      N      ρ_x          δ_x/π      ρ_y          δ_y/π     
----------------------------------------------------------------------
2×2     2      0.500000     1.000      0.500000     1.000     
2×2     2      0.500000     1.000      0.500000     0.000     
2×2     2      0.500000     0.000      0.500000     1.000     
2×2     2      0.500000     0.000      0.500000     0.000     
4×4     6      0.750000     0.000      0.750000     0.000     
3×3     8      0.666667     0.000      0.666667     0.000     
3×4     8      0.666667     0.000      0.500000     1.000     
3×4     8      0.666667     0.000      0.500000     0.000     
3×6     8      0.666667     0.000      0.666667     0.000     
4×3     8      0.500000     1.000      0.666667     0.000     
4×3     8      0.500000     0.000      0.666667     0.000     
4×4     8      0.500000     1.000      0.500000     1.000     
4×4     8      0.500000     1.000      0.500000     0.000     
4×4     8      0.500000     0.000      0.500000     1.000     
4×4     8      0.500000     0.000      0.500000     0.000     
4×6     8      0.500000     1.000      0.666667     0.000     
4×6     8      0.500000     0.000      0.666667     0.000     
6×3     8      0.666667     0.000      0.666667     0.000     
6×4     8      0.666667     0.000      0.500000     1.000     
6×4     8      0.666667     0.000      0.500000     0.000     
6×6     8      0.666667     0.000      0.666667     0.000     
3×3     10     0.460655     0.000      0.460655     0.000     
3×6     10     0.460655     0.000      0.460655     0.000     
6×3     10     0.460655     0.000      0.460655     0.000     
6×6     10     0.460655     0.000      0.460655     0.000     
3×3     12     0.333333     0.667      0.333333     1.333     
3×3     12     0.333333     0.667      0.333333     0.667     
3×3     12     0.333333     0.667      0.333333     0.000     
3×3     12     0.333333     0.000      0.333333     0.667     
3×3     12     0.333333     0.000      0.333333     0.000     
3×3     12     0.333333     1.333      0.333333     0.667     
3×3     12     0.333333     1.333      0.333333     0.000     
3×3     12     0.333333     0.000      0.333333     1.333     
3×3     12     0.333333     1.333      0.333333     1.333     
3×4     12     0.333333     0.000      0.133975     0.500     
3×4     12     0.333333     1.333      0.133975     1.500     
3×4     12     0.333333     0.667      0.750000     1.000     
3×4     12     0.333333     1.333      0.133975     0.500     
3×4     12     0.333333     0.000      0.750000     1.000     
3×4     12     0.333333     0.667      0.133975     1.500     
3×4     12     0.333333     1.333      0.250000     1.000     
3×4     12     0.333333     0.667      0.133975     0.500     
3×4     12     0.333333     1.333      0.250000     0.000     
3×4     12     0.333333     0.000      0.133975     1.500     
3×4     12     0.333333     0.667      0.250000     1.000     
3×4     12     0.333333     0.667      0.250000     0.000     
3×4     12     0.333333     0.000      0.250000     1.000     
3×4     12     0.333333     0.000      0.250000     0.000     
3×4     12     0.333333     1.333      0.750000     1.000     
3×6     12     0.333333     0.000      0.333333     1.333     
3×6     12     0.333333     0.000      0.333333     0.667     
3×6     12     0.333333     1.333      0.333333     1.333     
3×6     12     0.333333     1.333      0.333333     0.667     
3×6     12     0.333333     0.667      0.333333     0.667     
3×6     12     0.333333     0.667      0.333333     0.000     
3×6     12     0.333333     0.000      0.333333     0.000     
3×6     12     0.333333     0.667      0.333333     1.333     
3×6     12     0.333333     1.333      0.333333     0.000     
4×3     12     0.133975     0.500      0.333333     0.667     
4×3     12     0.133975     0.500      0.333333     0.000     
4×3     12     0.133975     1.500      0.333333     1.333     
4×3     12     0.133975     1.500      0.333333     0.667     
4×3     12     0.250000     0.000      0.333333     1.333     
4×3     12     0.250000     0.000      0.333333     0.667     
4×3     12     0.133975     0.500      0.333333     1.333     
4×3     12     0.250000     0.000      0.333333     0.000     
4×3     12     0.250000     1.000      0.333333     1.333     
4×3     12     0.250000     1.000      0.333333     0.667     
4×3     12     0.250000     1.000      0.333333     0.000     
4×3     12     0.133975     1.500      0.333333     0.000     
4×3     12     0.750000     1.000      0.333333     1.333     
4×3     12     0.750000     1.000      0.333333     0.667     
4×3     12     0.750000     1.000      0.333333     0.000     
4×4     12     0.133975     1.500      0.250000     0.000     
4×4     12     0.133975     0.500      0.750000     1.000     
4×4     12     0.250000     0.000      0.250000     1.000     
4×4     12     0.750000     1.000      0.133975     0.500     
4×4     12     0.250000     0.000      0.250000     0.000     
4×4     12     0.250000     0.000      0.133975     1.500     
4×4     12     0.250000     1.000      0.750000     1.000     
4×4     12     0.133975     0.500      0.133975     1.500     
4×4     12     0.750000     1.000      0.250000     1.000     
4×4     12     0.133975     0.500      0.133975     0.500     
4×4     12     0.750000     1.000      0.250000     0.000     
4×4     12     0.750000     1.000      0.133975     1.500     
4×4     12     0.250000     1.000      0.133975     1.500     
4×4     12     0.250000     1.000      0.133975     0.500     
4×4     12     0.133975     1.500      0.750000     1.000     
4×4     12     0.133975     0.500      0.250000     0.000     
4×4     12     0.250000     1.000      0.250000     1.000     
4×4     12     0.250000     1.000      0.250000     0.000     
4×4     12     0.250000     0.000      0.750000     1.000     
4×4     12     0.133975     1.500      0.133975     1.500     
4×4     12     0.133975     1.500      0.133975     0.500     
4×4     12     0.133975     0.500      0.250000     1.000     
4×4     12     0.250000     0.000      0.133975     0.500     
4×4     12     0.133975     1.500      0.250000     1.000     
4×4     12     0.750000     1.000      0.750000     1.000     
4×6     12     0.250000     0.000      0.333333     0.667     
4×6     12     0.250000     0.000      0.333333     0.000     
4×6     12     0.133975     1.500      0.333333     1.333     
4×6     12     0.133975     1.500      0.333333     0.667     
4×6     12     0.250000     0.000      0.333333     1.333     
4×6     12     0.750000     1.000      0.333333     0.000     
4×6     12     0.250000     1.000      0.333333     1.333     
4×6     12     0.250000     1.000      0.333333     0.667     
4×6     12     0.250000     1.000      0.333333     0.000     
4×6     12     0.133975     0.500      0.333333     1.333     
4×6     12     0.133975     0.500      0.333333     0.667     
4×6     12     0.750000     1.000      0.333333     1.333     
4×6     12     0.133975     0.500      0.333333     0.000     
4×6     12     0.750000     1.000      0.333333     0.667     
4×6     12     0.133975     1.500      0.333333     0.000     
6×3     12     0.333333     0.667      0.333333     1.333     
6×3     12     0.333333     1.333      0.333333     0.667     
6×3     12     0.333333     1.333      0.333333     0.000     
6×3     12     0.333333     1.333      0.333333     1.333     
6×3     12     0.333333     0.000      0.333333     0.000     
6×3     12     0.333333     0.667      0.333333     0.667     
6×3     12     0.333333     0.667      0.333333     0.000     
6×3     12     0.333333     0.000      0.333333     1.333     
6×3     12     0.333333     0.000      0.333333     0.667     
6×4     12     0.333333     0.000      0.250000     0.000     
6×4     12     0.333333     1.333      0.133975     1.500     
6×4     12     0.333333     1.333      0.133975     0.500     
6×4     12     0.333333     0.000      0.133975     1.500     
6×4     12     0.333333     1.333      0.250000     1.000     
6×4     12     0.333333     1.333      0.250000     0.000     
6×4     12     0.333333     0.000      0.250000     1.000     
6×4     12     0.333333     0.667      0.750000     1.000     
6×4     12     0.333333     0.000      0.750000     1.000     
6×4     12     0.333333     0.667      0.133975     1.500     
6×4     12     0.333333     0.667      0.133975     0.500     
6×4     12     0.333333     0.667      0.250000     1.000     
6×4     12     0.333333     0.000      0.133975     0.500     
6×4     12     0.333333     0.667      0.250000     0.000     
6×4     12     0.333333     1.333      0.750000     1.000     
6×6     12     0.333333     0.667      0.333333     1.333     
6×6     12     0.333333     0.667      0.333333     0.667     
6×6     12     0.333333     0.667      0.333333     0.000     
6×6     12     0.333333     0.000      0.333333     0.000     
6×6     12     0.333333     1.333      0.333333     0.000     
6×6     12     0.333333     0.000      0.333333     1.333     
6×6     12     0.333333     0.000      0.333333     0.667     
6×6     12     0.333333     1.333      0.333333     1.333     
6×6     12     0.333333     1.333      0.333333     0.667     
3×3     16     0.195262     0.000      0.195262     0.000     
3×4     16     0.195262     0.000      0.853553     0.000     
3×4     16     0.195262     0.000      0.146447     0.000     
3×4     16     0.195262     0.000      0.292893     0.500     
3×6     16     0.195262     0.000      0.195262     0.000     
4×3     16     0.146447     0.000      0.195262     0.000     
4×3     16     0.853553     0.000      0.195262     0.000     
4×3     16     0.292893     0.500      0.195262     0.000     
4×4     16     0.146447     0.000      0.292893     0.500     
4×4     16     0.853553     0.000      0.853553     0.000     
4×4     16     0.292893     0.500      0.146447     0.000     
4×4     16     0.146447     0.000      0.853553     0.000     
4×4     16     0.292893     0.500      0.292893     0.500     
4×4     16     0.853553     0.000      0.292893     0.500     
4×4     16     0.853553     0.000      0.146447     0.000     
4×4     16     0.292893     0.500      0.853553     0.000     
4×4     16     0.146447     0.000      0.146447     0.000     
4×6     16     0.292893     0.500      0.195262     0.000     
4×6     16     0.146447     0.000      0.195262     0.000     
4×6     16     0.853553     0.000      0.195262     0.000     
6×3     16     0.195262     0.000      0.195262     0.000     
6×4     16     0.195262     0.000      0.146447     0.000     
6×4     16     0.195262     0.000      0.292893     0.500     
6×4     16     0.195262     0.000      0.853553     0.000     
6×6     16     0.195262     0.000      0.195262     0.000     
3×3     20     0.127322     0.000      0.127322     0.000     
3×4     20     0.127322     0.000      0.654508     0.000     
3×4     20     0.127322     0.000      0.345492     1.000     
3×4     20     0.127322     0.000      0.095492     0.000     
4×3     20     0.095492     0.000      0.127322     0.000     
4×3     20     0.345492     1.000      0.127322     0.000     
4×3     20     0.654508     0.000      0.127322     0.000     
4×4     20     0.654508     0.000      0.654508     0.000     
4×4     20     0.345492     1.000      0.095492     0.000     
4×4     20     0.095492     0.000      0.345492     1.000     
4×4     20     0.095492     0.000      0.654508     0.000     
4×4     20     0.345492     1.000      0.654508     0.000     
4×4     20     0.654508     0.000      0.095492     0.000     
4×4     20     0.345492     1.000      0.345492     1.000     
4×4     20     0.654508     0.000      0.345492     1.000     
4×4     20     0.095492     0.000      0.095492     0.000     
3×3     24     0.666667     0.667      0.666667     0.667     
3×3     24     0.666667     1.333      0.089316     0.000     
3×3     24     0.666667     0.667      0.666667     1.333     
3×3     24     0.666667     0.667      0.089316     0.000     
3×3     24     0.089316     0.000      0.666667     1.333     
3×3     24     0.089316     0.000      0.666667     0.667     
3×3     24     0.666667     1.333      0.666667     1.333     
3×3     24     0.666667     1.333      0.666667     0.667     
3×3     24     0.089316     0.000      0.089316     0.000     
3×4     24     0.666667     1.333      0.933013     0.000     
3×4     24     0.666667     1.333      0.500000     0.500     
3×4     24     0.089316     0.000      0.933013     0.000     
3×4     24     0.666667     1.333      0.066987     0.000     
3×4     24     0.666667     0.667      0.500000     1.500     
3×4     24     0.666667     0.667      0.500000     0.500     
3×4     24     0.666667     0.667      0.933013     0.000     
3×4     24     0.089316     0.000      0.066987     0.000     
3×4     24     0.089316     0.000      0.500000     1.500     
3×4     24     0.089316     0.000      0.500000     0.500     
3×4     24     0.666667     0.667      0.066987     0.000     
3×4     24     0.666667     1.333      0.500000     1.500     
3×8     24     0.089316     0.000      0.500000     0.500     
3×8     24     0.666667     0.667      0.500000     1.000     
3×8     24     0.666667     1.333      0.500000     1.500     
3×8     24     0.666667     1.333      0.500000     0.500     
3×8     24     0.089316     0.000      0.500000     1.500     
3×8     24     0.089316     0.000      0.500000     0.000     
3×8     24     0.666667     0.667      0.500000     0.500     
3×8     24     0.666667     1.333      0.500000     1.000     
3×8     24     0.666667     1.333      0.500000     0.000     
3×8     24     0.089316     0.000      0.500000     1.000     
3×8     24     0.666667     0.667      0.500000     1.500     
3×8     24     0.666667     0.667      0.500000     0.000     
4×3     24     0.500000     1.500      0.666667     1.333     
4×3     24     0.500000     1.500      0.666667     0.667     
4×3     24     0.066987     0.000      0.089316     0.000     
4×3     24     0.500000     0.500      0.666667     1.333     
4×3     24     0.500000     0.500      0.666667     0.667     
4×3     24     0.933013     0.000      0.089316     0.000     
4×3     24     0.500000     1.500      0.089316     0.000     
4×3     24     0.500000     0.500      0.089316     0.000     
4×3     24     0.066987     0.000      0.666667     1.333     
4×3     24     0.066987     0.000      0.666667     0.667     
4×3     24     0.933013     0.000      0.666667     1.333     
4×3     24     0.933013     0.000      0.666667     0.667     
4×4     24     0.066987     0.000      0.500000     1.500     
4×4     24     0.933013     0.000      0.500000     1.500     
4×4     24     0.933013     0.000      0.500000     0.500     
4×4     24     0.066987     0.000      0.933013     0.000     
4×4     24     0.500000     1.500      0.500000     0.500     
4×4     24     0.933013     0.000      0.933013     0.000     
4×4     24     0.066987     0.000      0.066987     0.000     
4×4     24     0.500000     1.500      0.500000     1.500     
4×4     24     0.500000     1.500      0.933013     0.000     
4×4     24     0.500000     0.500      0.066987     0.000     
4×4     24     0.933013     0.000      0.066987     0.000     
4×4     24     0.500000     1.500      0.066987     0.000     
4×4     24     0.066987     0.000      0.500000     0.500     
4×4     24     0.500000     0.500      0.500000     1.500     
4×4     24     0.500000     0.500      0.500000     0.500     
4×4     24     0.500000     0.500      0.933013     0.000     
4×8     24     0.933013     0.000      0.500000     1.000     
4×8     24     0.500000     0.500      0.500000     1.000     
4×8     24     0.500000     0.500      0.500000     0.000     
4×8     24     0.500000     1.500      0.500000     1.500     
4×8     24     0.500000     1.500      0.500000     0.500     
4×8     24     0.933013     0.000      0.500000     0.500     
4×8     24     0.066987     0.000      0.500000     1.500     
4×8     24     0.066987     0.000      0.500000     0.500     
